municipality,year,richness,exp_shannon,inv_simpson,lex_div_q_0,lex_div_q_1,lex_div_q_2
Kauhava,2023,10,1.3567819162969383,1.1155494467891123,1.3896874329248436,1.1558982317662025,1.093849158265874
Kauhava,2024,13,1.4193056375999478,1.134559061828631,1.4588350139944068,1.184134787151066,1.1104561204968773
Kauhava,2025,10,1.4222095499468665,1.140819755523748,1.4696619472376165,1.192685686565105,1.1162759134192108
Kauniainen,1990,5,2.064976226338381,1.9937873045314487,1.8166706520037335,1.792651137390701,1.7790856042991505
Kauniainen,1991,7,2.1333706963025563,2.0141171887472145,1.8297187015928893,1.8022241889012702,1.78662872404356
Kauniainen,1992,6,2.1153202586626874,2.004781999131661,1.8357925204038248,1.8009202435497647,1.7825653964622232
Kauniainen,1993,7,2.1378891248364824,2.0114734740157294,1.8525210391884332,1.8089649774896994,1.7877621942846396
Kauniainen,1994,8,2.1628282529402103,2.0187966425448356,1.8560937414713776,1.8121761794292852,1.7906933453464957
Kauniainen,1995,8,2.1813070511676176,2.022475000584963,1.8628584612100973,1.815582998757202,1.792161593750167
Kauniainen,1996,8,2.190630181574879,2.023129391869309,1.877313205838415,1.8204897994493117,1.7935693131575496
Kauniainen,1997,8,2.212936960713956,2.028126288613586,1.89018250828484,1.8263711573356485,1.7963406322836535
Kauniainen,1998,9,2.2250853663525545,2.0252123892517595,1.9132326204567507,1.8328787877174475,1.7965574520905263
Kauniainen,1999,10,2.2492035399666466,2.0247739543060628,1.9210716968052455,1.8355833103536938,1.7954417485344765
Kauniainen,2000,10,2.2259332267233756,2.008299957058692,1.9285988890997143,1.8312751694527503,1.7868053091459173
Kauniainen,2001,12,2.2794528843830446,2.0220777462423114,1.9474653502342543,1.8427954973772758,1.7948110176234058
Kauniainen,2002,10,2.222733509828891,2.0042008357124383,1.9155346058644103,1.8255462698121452,1.7823922500334062
